"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US2140995","ZCTA5 40995, Kentucky","121"
"8710000US2140997","ZCTA5 40997, Kentucky","371"
"8710000US2141001","ZCTA5 41001, Kentucky","16412"
"8710000US2141002","ZCTA5 41002, Kentucky","2510"
"8710000US2141003","ZCTA5 41003, Kentucky","2786"
"8710000US2141004","ZCTA5 41004, Kentucky","4122"
"8710000US2141005","ZCTA5 41005, Kentucky","22569"
"8710000US2141006","ZCTA5 41006, Kentucky","4434"
"8710000US2141007","ZCTA5 41007, Kentucky","4193"
"8710000US2141008","ZCTA5 41008, Kentucky","7457"
"8710000US2141010","ZCTA5 41010, Kentucky","3217"
"8710000US2141011","ZCTA5 41011, Kentucky","25872"
"8710000US2141014","ZCTA5 41014, Kentucky","6942"
"8710000US2141015","ZCTA5 41015, Kentucky","20864"
"8710000US2141016","ZCTA5 41016, Kentucky","6075"
"8710000US2141017","ZCTA5 41017, Kentucky","38940"
"8710000US2141018","ZCTA5 41018, Kentucky","27345"
"8710000US2141030","ZCTA5 41030, Kentucky","6299"
"8710000US2141031","ZCTA5 41031, Kentucky","15886"
"8710000US2141033","ZCTA5 41033, Kentucky","1976"
"8710000US2141034","ZCTA5 41034, Kentucky","1032"
"8710000US2141035","ZCTA5 41035, Kentucky","10785"
"8710000US2141039","ZCTA5 41039, Kentucky","2502"
"8710000US2141040","ZCTA5 41040, Kentucky","7265"
"8710000US2141041","ZCTA5 41041, Kentucky","7153"
"8710000US2141042","ZCTA5 41042, Kentucky","49968"
"8710000US2141043","ZCTA5 41043, Kentucky","1745"
"8710000US2141044","ZCTA5 41044, Kentucky","1116"
"8710000US2141045","ZCTA5 41045, Kentucky","1273"
"8710000US2141046","ZCTA5 41046, Kentucky","1414"
"8710000US2141048","ZCTA5 41048, Kentucky","13959"
"8710000US2141049","ZCTA5 41049, Kentucky","2261"
"8710000US2141051","ZCTA5 41051, Kentucky","26796"
"8710000US2141052","ZCTA5 41052, Kentucky","107"
"8710000US2141055","ZCTA5 41055, Kentucky","1813"
"8710000US2141056","ZCTA5 41056, Kentucky","14228"
"8710000US2141059","ZCTA5 41059, Kentucky","2712"
"8710000US2141062","ZCTA5 41062, Kentucky","35"
"8710000US2141063","ZCTA5 41063, Kentucky","3378"
"8710000US2141064","ZCTA5 41064, Kentucky","2073"
"8710000US2141071","ZCTA5 41071, Kentucky","20869"
"8710000US2141073","ZCTA5 41073, Kentucky","5955"
"8710000US2141074","ZCTA5 41074, Kentucky","5338"
"8710000US2141075","ZCTA5 41075, Kentucky","16459"
"8710000US2141076","ZCTA5 41076, Kentucky","16468"
"8710000US2141080","ZCTA5 41080, Kentucky","1849"
"8710000US2141083","ZCTA5 41083, Kentucky","1326"
"8710000US2141085","ZCTA5 41085, Kentucky","724"
"8710000US2141086","ZCTA5 41086, Kentucky","2771"
"8710000US2141091","ZCTA5 41091, Kentucky","16873"
"8710000US2141092","ZCTA5 41092, Kentucky","3514"
"8710000US2141093","ZCTA5 41093, Kentucky","2869"
"8710000US2141094","ZCTA5 41094, Kentucky","13631"
"8710000US2141095","ZCTA5 41095, Kentucky","3540"
"8710000US2141097","ZCTA5 41097, Kentucky","7349"
"8710000US2141098","ZCTA5 41098, Kentucky","2037"
"8710000US2141099","ZCTA5 41099, Kentucky","1169"
"8710000US2141101","ZCTA5 41101, Kentucky","18758"
"8710000US2141102","ZCTA5 41102, Kentucky","21712"
"8710000US2141121","ZCTA5 41121, Kentucky","1852"
"8710000US2141124","ZCTA5 41124, Kentucky","1039"
"8710000US2141129","ZCTA5 41129, Kentucky","9922"
"8710000US2141132","ZCTA5 41132, Kentucky","425"
"8710000US2141135","ZCTA5 41135, Kentucky","172"
"8710000US2141139","ZCTA5 41139, Kentucky","8271"
"8710000US2141141","ZCTA5 41141, Kentucky","2461"
"8710000US2141142","ZCTA5 41142, Kentucky","91"
"8710000US2141143","ZCTA5 41143, Kentucky","14535"
"8710000US2141144","ZCTA5 41144, Kentucky","10279"
"8710000US2141146","ZCTA5 41146, Kentucky","412"
"8710000US2141149","ZCTA5 41149, Kentucky","733"
"8710000US2141159","ZCTA5 41159, Kentucky","583"
"8710000US2141164","ZCTA5 41164, Kentucky","13125"
"8710000US2141166","ZCTA5 41166, Kentucky","919"
"8710000US2141168","ZCTA5 41168, Kentucky","3043"
"8710000US2141169","ZCTA5 41169, Kentucky","5354"
"8710000US2141171","ZCTA5 41171, Kentucky","5042"
"8710000US2141174","ZCTA5 41174, Kentucky","1122"
"8710000US2141175","ZCTA5 41175, Kentucky","5591"
"8710000US2141179","ZCTA5 41179, Kentucky","7852"
"8710000US2141180","ZCTA5 41180, Kentucky","1087"
"8710000US2141183","ZCTA5 41183, Kentucky","1618"
"8710000US2141189","ZCTA5 41189, Kentucky","2264"
"8710000US2141201","ZCTA5 41201, Kentucky","238"
